Name,Summary,Description,Status,Resolution Date,Due Date,Parent,Hierarchy
Enterprise Cloud Migration,Migrate enterprise infrastructure to AWS for better scalability and cost efficiency.,This initiative encompasses planning; execution; and optimization of migrating all on-premises servers; databases; and applications to AWS. It involves cross-functional teams from IT; security; and operations to ensure minimal downtime and compliance with data regulations. Dependencies include budget approval and stakeholder buy-in.,In Progress,,2025-11-10,,Initiative
Planning and Assessment,Conduct initial planning and assess current infrastructure.,Epic focused on evaluating existing systems; identifying migration candidates; and creating a roadmap. This includes inventory audits; risk assessments; and vendor evaluations to inform subsequent phases.,Done,2025-10-05,,Enterprise Cloud Migration,Initiative > Planning and Assessment
Inventory Audit,Audit current on-premises assets.,Task to catalog all servers; databases; and apps; including dependencies and usage metrics; to prioritize migration. Completed with report generation. This is a key component in the Planning and Assessment phase; ensuring alignment with overall goals.,Done,2025-09-22,,Planning and Assessment,Initiative > Planning and Assessment > Inventory Audit
Inventory Audit Sub-Task 1,Sub-component 1 of Inventory Audit.,Detailed task for Inventory Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,Done,2025-09-18,,Inventory Audit,Initiative > Planning and Assessment > Inventory Audit > Inventory Audit Sub-Task 1
Inventory Audit Sub-Task 2,Sub-component 2 of Inventory Audit.,Detailed task for Inventory Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,Done,2025-10-09,,Inventory Audit,Initiative > Planning and Assessment > Inventory Audit > Inventory Audit Sub-Task 2
Inventory Audit Sub-Story 3,Sub-component 3 of Inventory Audit.,Detailed story for Inventory Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,Done,2025-10-07,,Inventory Audit,Initiative > Planning and Assessment > Inventory Audit > Inventory Audit Sub-Story 3
Inventory Audit Sub-Sub-task 4,Sub-component 4 of Inventory Audit.,Detailed sub-task for Inventory Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,Done,2025-09-29,,Inventory Audit,Initiative > Planning and Assessment > Inventory Audit > Inventory Audit Sub-Sub-task 4
Inventory Audit Sub-Task 5,Sub-component 5 of Inventory Audit.,Detailed task for Inventory Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,Done,2025-10-13,,Inventory Audit,Initiative > Planning and Assessment > Inventory Audit > Inventory Audit Sub-Task 5
Inventory Audit Sub-Task 6,Sub-component 6 of Inventory Audit.,Detailed task for Inventory Audit: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,In Progress,,2025-10-25,Inventory Audit,Initiative > Planning and Assessment > Inventory Audit > Inventory Audit Sub-Task 6
Risk Assessment,Identify potential risks in migration.,Story assessing security; downtime; and cost risks; with mitigation strategies documented. Involved consultations with legal and finance teams. This is a key component in the Planning and Assessment phase; ensuring alignment with overall goals.,Done,2025-09-26,,Planning and Assessment,Initiative > Planning and Assessment > Risk Assessment
Risk Assessment Sub-Task 1,Sub-component 1 of Risk Assessment.,Detailed task for Risk Assessment: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,Done,2025-10-15,,Risk Assessment,Initiative > Planning and Assessment > Risk Assessment > Risk Assessment Sub-Task 1
Risk Assessment Sub-Story 2,Sub-component 2 of Risk Assessment.,Detailed story for Risk Assessment: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,Done,2025-10-11,,Risk Assessment,Initiative > Planning and Assessment > Risk Assessment > Risk Assessment Sub-Story 2
Risk Assessment Sub-Task 3,Sub-component 3 of Risk Assessment.,Detailed task for Risk Assessment: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,To Do,,2025-11-16,Risk Assessment,Initiative > Planning and Assessment > Risk Assessment > Risk Assessment Sub-Task 3
Risk Assessment Sub-Story 4,Sub-component 4 of Risk Assessment.,Detailed story for Risk Assessment: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,To Do,,2025-11-06,Risk Assessment,Initiative > Planning and Assessment > Risk Assessment > Risk Assessment Sub-Story 4
Roadmap Creation,Develop detailed migration roadmap.,Task to outline phases; timelines; and resources needed; based on audit and risk data. This is a key component in the Planning and Assessment phase; ensuring alignment with overall goals.,Done,2025-09-20,,Planning and Assessment,Initiative > Planning and Assessment > Roadmap Creation
Roadmap Creation Sub-Sub-task 1,Sub-component 1 of Roadmap Creation.,Detailed sub-task for Roadmap Creation: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,In Progress,,2025-10-23,Roadmap Creation,Initiative > Planning and Assessment > Roadmap Creation > Roadmap Creation Sub-Sub-task 1
Roadmap Creation Sub-Sub-task 2,Sub-component 2 of Roadmap Creation.,Detailed sub-task for Roadmap Creation: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,Done,2025-10-17,,Roadmap Creation,Initiative > Planning and Assessment > Roadmap Creation > Roadmap Creation Sub-Sub-task 2
Roadmap Creation Sub-Story 3,Sub-component 3 of Roadmap Creation.,Detailed story for Roadmap Creation: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,Done,2025-10-02,,Roadmap Creation,Initiative > Planning and Assessment > Roadmap Creation > Roadmap Creation Sub-Story 3
Roadmap Creation Sub-Story 4,Sub-component 4 of Roadmap Creation.,Detailed story for Roadmap Creation: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,Done,2025-10-15,,Roadmap Creation,Initiative > Planning and Assessment > Roadmap Creation > Roadmap Creation Sub-Story 4
Vendor Evaluation,Evaluate cloud providers and tools.,Child Epic for comparing AWS; Azure; etc.; and selecting migration tools like AWS DMS. This is a key component in the Planning and Assessment phase; ensuring alignment with overall goals.,Done,2025-10-10,,Planning and Assessment,Initiative > Planning and Assessment > Vendor Evaluation
Vendor Evaluation Sub-Story 1,Sub-component 1 of Vendor Evaluation.,Detailed story for Vendor Evaluation: involves specific actions like reviewing code; testing modules; or documenting changes. Dependencies: prior sub-tasks. Expected outcome: improved efficiency in Planning and Assessment.,Done,2025-09-26,,Vendor Evaluation,Initiative > Planning and Assessment > Vendor Evaluation > Vendor Evaluation Sub-Story 1
